Age,Gender,Class,Size of Family,Father education,Mother education,Father Occupation,Mother Occupation,Health Issues,ParentMaritalStatus,PracticeSport,Attendance,Homework completion,Academic Score,Attentivity in Class,Behavioral Patterns,Performance,Self-Esteem,Socially Skills,Teacher Interaction,Cognitive Development,Technology Influence,Social Media Influence,Involved in Extra-Curricular
10,F,5,4,Post Graduate,High school,Self Employed,Self Employed,N,Married,Regularly,63%,Always,78%,Good,Calm,Good,Confident,Active,Good,Good,Moderate,Inactive,Regularly
10,F,5,3,Graduate,Graduate,Private,Private,N,Married,Regularly,88%,Always,74%,Good,Calm,Good,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,4,Post Graduate,High school,Private,Private,N,Married,Regularly,90%,Always,80%,Good,Calm,Good,Confident,Active,Good,Excellent,No Usage,Inactive,Regularly
10,M,5,3,Graduate,Graduate,Government,Private,N,Married,Regularly,95%,Always,56%,Moderate,Calm,Poor,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,4,Post Graduate,High school,Government,Government,N,Married,Regularly,92%,Always,60%,Good,Calm,Poor,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,5,Graduate,Graduate,Self Employed,Self Employed,N,Married,Regularly,97%,Sometimes,48%,Moderate,Calm,Poor,Low,Active,Good,Average,No Usage,Inactive,Regularly
10,F,5,6,Post Graduate,High school,Self Employed,Self Employed,N,Married,Regularly,92%,Sometimes,53%,Moderate,Calm,Poor,Low,Moderately Active,Good,Good,No Usage,Inactive,Regularly
10,M,5,6,Graduate,Graduate,Private,Private,N,Married,Regularly,91%,Always,60%,Good,Calm,Poor,Confident,Active,Good,Average,No Usage,Inactive,Regularly
10,M,5,5,Post Graduate,High school,Private,Private,N,Married,Regularly,95%,Always,69%,Good,Calm,Average,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,5,Graduate,Graduate,Government,Private,N,Married,Regularly,89%,Always,70%,Good,Calm,Average,Confident,Active,Good,Good,No Usage,Inactive,Regularly
10,F,5,3,Post Graduate,High school,Government,Government,N,Married,Regularly,87%,Always,86%,Good,Calm,Excellent,Confident,Active,Good,Excellent,No Usage,Inactive,Regularly
10,M,5,3,Graduate,Graduate,Self Employed,Self Employed,N,Married,Regularly,96%,Always,65%,Good,Calm,Average,Low,Inactive,Moderate,Average,No Usage,Inactive,Regularly
10,M,5,3,Post Graduate,High school,Self Employed,Self Employed,N,Married,Regularly,89%,Always,83%,Good,Calm,Excellent,Confident,Active,Good,Excellent,No Usage,Inactive,Regularly
14,M,8,3,Graduate,Graduate,,Self- Employeed,Y,Married,regularly,0.71,Always,0.67,Good,Calm,Poor,Confident,Active,Good,Excellent,Addicted,Active,Sometimes
14,M,8,4,,,Private,Private,N,Married,regularly,0.87,Sometimes,0.4,Moderate,Disturbed,Poor,Low Confident,Active,Moderate,Average,Addicted, Active,Sometimes
14,M,8,4,Graduate,,,,N,Married,regularly,0.61,Sometimes,0.4,Nil,Disturbed,Poor,Low Confident,Moderately Active,Moderate,Average,Moderate,Moderately Active,Never
14,M,8,4,Graduate,,Private,Private,N,Married,regularly,0.9,Always,0.59,Moderate,Calm,Poor,Confident,Active,Moderate,Average,Moderate,Moderately Active,regularly
14,F,8,3,,,,,N,Married,regularly,0.86,Always,0.58,Moderate,Calm,Poor,Low Confident,Inactive,Moderate,Average,Moderate,Moderately Active,Sometimes
13,F,8,3,Graduate,Graduate,Government,Government,Y,Married,regularly,0.93,Always,0.39,Moderate,Calm,Poor,Low Confident,Moderately Active,Moderate,Average,No usage,Inactive,Sometimes
14,F,8,,,,,,N,,regularly,0.92,Always,0.77,Good,Focused,Poor,Confident,Active,Good,Excellent,Moderate,Inactive,Regularly
14,M,8,3,,,,Self-Employeed,N,Married,regularly,0.8,Sometimes,0.47,Moderate,Calm,Poor,Confident,Active,Moderate,Average,Addicted,Moderately Active,Sometimes
14,F,8,4,Graduate,,Self employed,Self-Employeed,N,Married,regularly,0.94,Always,0.79,Good,Focused,Poor,Confident,Active,Good,Good,Moderate,Moderately Active,Regularly
14,M,8,3,Graduate,Graduate,Government,Government,N,Married,regularly,0.73,Sometimes,0.46,Moderate,Disturbed,Poor,Confident,Active,Moderate,Average,Addicted,Active,Regularly
14,M,8,4,,,Private,Private,N,Married,regularly,0.74,Sometimes,0.37,Moderate,Calm,Poor,Confident,Active,Moderate,Average,Addicted,Active,Regularly
14,F,8,4,Graduate,,Private,Self- Employeed,N,Married,regularly,0.8,Always,0.59,Good,Calm,Poor,Confident,Active,Moderate,Average,Moderate,Active,Sometimes
14,F,8,3,,,,,N,Married,regularly,0.75,Sometimes,0.3,Moderate,Calm,Poor,Confident,Active,Good,Average,Moderate,Active,Sometimes
14,M,8,3,Post graduate,Post graduate,Government,Government,N,Married,regularly,0.73,Always,0.55,Good,Calm,Poor,Confident,Active,Good,Average,Moderate,Moderately Active,Sometimes
14,F,8,,,,,Self- Employeed,N,Married,regularly,0.94,Always,0.79,Good,Focused,Poor,Confident,Active,Good,Good,No usage,Inactive,Regularly
13,M,8,3,,Graduate,Private,,N,Married,regularly,0.82,Always,0.57,Moderate,Diaturbed,Poor,Confident,Active,Moderate,Good,Addicted,Active,Sometimes
14,M,8,3,,,Self employed,,N,Married,regularly,0.72,Always,0.58,Good,Calm,Poor,Confident,Active,Good,Average,No usage,Inactive,Sometimes
14,F,8,3,,,Self employed,Self- Employeed,N,,,0.63,Sometimes,0.32,Nil,Calm,Poor,Confident,Active,Moderate,Average,Moderate,Active,Never
14,F,8,,,,,,,,,0.8,Sometimes,0.52,Moderate,Calm,Poor,Confident,Active,Moderate,Average,Moderate,Active,Sometimes
7,F,1,3,Post graduate,High school,Self employed,Private,N ,Married ,Never ,85%,Never,78%,Moderate,Hyperactive,Good,Confident,Active,Good,Good,No usage,,Sometimes
7,M,1,3,Post graduate,High school ,Private,Self employed,N ,Married ,sometimes ,78%,Sometimes ,98%,Good ,Focused,Excellent,Confident,Active,Good,Good,Moderate,,Regularly
7,M,1,3,Diploma,Graduate,Private,Self employed,N,Married ,regular ,98%,Always ,93%,Good ,Calm,Excellent,Confident,Active,Good,Good,No usage,,Sometimes
7,M,1,3,Graduate,Post Graduate,Private,Private,N,Married,Never ,78%,Always ,67%,Moderate ,Calm,Average,Confident,Active,Good,Good,Moderate,,Sometimes
7,F,1,2,Diploma,Diploma,Private,Self employed,N ,Married,Sometimes ,67%,Never ,77%,Moderate,Calm,Good,Confident,Active,Good,Good,Moderate,,Sometimes
7,M,1,3,Post graduate,High school,Private,Private,N,Married,Regular ,98%,Sometimes ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,Moderate,,Sometimes
7,M,1,3,Post graduate,Graduate,Private,Private,N,Married,Never ,94%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,Moderate,,Regularly
7,F,1,2,Post graduate,Graduate,Private,Self employed,N,Married,Regular,96%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,Moderate,,Regularly
7,M,1,3,Post graduate,Graduate,Private,Government,N,Married,Regular,78%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,Moderate,,Regularly
7,F,1,3,Post graduate,Graduate,Private,Self employed,N,Married,Regular,56%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,Moderate,,Regularly
7,F,1,3,Post graduate,Graduate,Private,Self employed,N,Married,Regular,89%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Post graduate,Graduate,Private,Self employed,N,Married,Regular,78%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,5,Post graduate,Graduate,Private,Self employed,N,Married,Regular,77%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Post graduate,Graduate,Private,Self employed,N,Married,Regular,89%,Always ,93%,Good,Calm,Excellent,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Post graduate,Graduate,Private,Self employed,N,Married,Regular,70%,Always ,78%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Post graduate,Graduate,Private,Self employed,N,Married,Regular,98%,Always ,88%,Good,Calm,Excellent,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Post graduate,Graduate,Self employed,Self employed,N,Married,Regular,98%,Always ,57%,Good,Calm,Poor,Low,Active,Good,Good,No usage,,Regularly
7,M,1,3,Post graduate,Graduate,Self employed,Self employed,N,Married,Regular,76%,Always ,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Post graduate,Graduate,Private ,Self employed,N,Married,Regular,77%,Always ,74%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Graduate,Government,Self employed,N,Married,Regular,98%,Always ,70%,Good,Calm,Average,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Graduate,Government,Self employed,N,Married,Regular,88%,Always ,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Diploma,Graduate,Government,Self employed,N,Married,Regular,90%,Always ,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Graduate,Government,Self employed,N,Married,Regular,74%,Always ,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Graduate,Government,Self employed,Y,Married,Regular,85%,Always ,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Graduate,Government,Self employed,Y,Married,Regular,72%,Always ,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Graduate,Government,Self employed,Y,Married,Regular,72%,Sometimes,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Graduate,Government,Self employed,N,Married,Regular,72%,Never,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,2,Graduate,Graduate,Government,Self employed,N,Married,Regular,72%,Sometimes,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Graduate,Government,Self employed,Y,Married,Regular,72%,Sometimes,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Graduate,Government,Self employed,Y,Married,Regular,72%,Sometimes,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,80%,Good,Calm,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Post Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,66%,Moderate,Calm,Average,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Post Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,82%,Good ,Calm,Excellent,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Diploma,Post Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,66%,Moderate,Calm,Average,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Post graduate,Post Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,66%,Moderate,Calm,Average,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Post Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,66%,Moderate,Hyperactive,Average,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Government,Self employed,N ,Married,sometimes ,72%,Sometimes,66%,Moderate,Disturbed,Average,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Self employed,Self employed,N ,Married,sometimes ,95%,Sometimes,66%,Moderate,Disturbed,Average,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,84%,Sometimes,66%,Moderate,Hyperactive,Average,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,73%,Sometimes,66%,Moderate,Hyperactive,Average,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,66%,Moderate,Disturbed,Average,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,95%,Good ,Focused,Excellent,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,76%,Good ,Focused,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,74%,Good ,Focused,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,74%,Good ,Focused,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,74%,Good ,Focused,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,74%,Good ,Focused,Good,Confident,Active,Good,Good,No usage,,Regularly
7,M,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,74%,Good ,Focused,Good,Confident,Active,Good,Good,No usage,,Regularly
7,F,1,3,Graduate,Post Graduate,Private,Self employed,N ,Married,sometimes ,89%,Sometimes,74%,Good ,Focused,Good,Confident,Active,Good,Good,No usage,,Regularly
10,M,5,4,Post-Graduate,Graduate,private,Government,N,Married,sometimes,95%,always,88%,good,focused,Excellent,confident,active,good,excellent,moderate,moderately-active,sometimes
10,M,5,4,Graduate,Graduate,private,Self-Employed,N,Married,sometimes,72%,sometimes,45%,moderate,disturbed,Poor,low,inactive,nil,low,moderate,moderately-active,sometimes
10,M,5,3,Post-Graduate,Graduate,Government,Self-Employed,N,Married,sometimes,76%,sometimes,38%,moderate,disturbed,Poor,low,moderately-active,moderate,average,moderate,moderately-active,never
10,F,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,sometimes,90%,always,87%,good,focused,Excellent,confident,active,good,excellent,moderate,moderately-active,sometimes
10,M,5,3,Graduate,Graduate,private,Self-Employed,N,Married,sometimes,96%,always,75%,good,focused,Good,confident,moderately-active,moderate,good,moderate,moderately-active,never
10,M,5,3,Graduate,Graduate,private,Self-Employed,N,Married,sometimes,91%,always,76%,moderate,hyperactive,Good,confident,moderately-active,moderate,average,moderate,moderately-active,never
10,M,5,4,Post-Graduate,Graduate,Government,Government,Y,Married,never,71%,sometimes,65%,good,hyperactive,Average,over-confident,moderately-active,moderate,good,addicted,over-active,never
10,M,5,3,Post-Graduate,Graduate,Private,Self-Employed,N,Married,sometimes,78%,always,64%,moderate,hyperactive,Average,confident,moderately-active,nil,average,addicted,moderately-active,sometimes
10,F,5,3,Graduate,Graduate,Self-Employed,Self-Employed,N,Married,never,92%,always,74%,good,focused,Good,confident,moderately-active,nil,good,moderate,moderately-active,sometimes
10,F,5,3,Graduate,Graduate,private,Self-Employed,N,Married,sometimes,80%,sometimes,55%,moderate,hyperactive,Poor,low,moderately-active,nil,average,addicted,moderately-active,sometimes
10,M,5,4,Graduate,Graduate,Private,Self-Employed,N,Married,sometimes,98%,always,83%,good,focused,Excellent,confident,active,good,good,moderate,moderately-active,sometimes
10,F,5,3,Post-Graduate,Graduate,private,Self-Employed,Y,Married,never,66%,sometimes,46%,moderate,calm,Poor,low,inactive,nil,low,moderate,inactive,never
10,F,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,regularly,97%,always,76%,good,hyperactive,Good,confident,active,good,good,moderate,moderately-active,regularly
10,M,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,never,74%,always,66%,good,calm,Average,confident,moderately-active,moderate,good,moderate,moderately-active,never
10,M,5,3,Graduate,Graduate,private,Self-Employed,N,Married,sometimes,94%,sometimes,47%,moderate,calm,Poor,low,moderately-active,nil,low,moderate,moderately-active,sometimes
10,F,5,3,Graduate,Graduate,private,Self-Employed,N,Married,never,95%,always,68%,good,calm,Average,low,moderately-active,nil,average,moderate,inactive,sometimes
10,M,5,3,Graduate,Graduate,Self-Employed,Self-Employed,N,Married,sometimes,96%,always,62%,moderate,hyperactive,Average,low,moderately-active,nil,average,moderate,over-active,sometimes
10,M,5,3,Graduate,Graduate,Self-Employed,Self-Employed,N,Married,never,90%,always,63%,moderate,hyperactive,Average,low,moderately-active,nil,average,moderate,over-active,sometimes
10,M,5,4,Graduate,Graduate,private,Self-Employed,N,Married,never,99%,always,75%,good,calm,Good,low,moderately-active,nil,good,moderate,moderately-active,never
10,F,5,3,Post-Graduate,Graduate,private,Government,N,Married,regularly,99%,always,85%,good,focused,Excellent,confident,active,good,excellent,moderate,moderately-active,regularly
10,F,5,3,Graduate,Graduate,private,Private,N,Married,regularly,90%,always,76%,good,focused,Good,confident,active,good,good,moderate,moderately-active,regularly
10,M,5,3,Graduate,Graduate,Self-Employed,Private,N,Married,sometimes,93%,always,62%,good,focused,Average,low,active,moderate,good,moderate,moderately-active,sometimes
10,F,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,regularly,94%,always,73%,good,focused,Good,confident,moderately-active,moderate,good,moderate,moderately-active,regularly
10,M,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,sometimes,91%,always,87%,good,hyperactive,Excellent,confident,active,good,excellent,moderate,moderately-active,sometimes
10,F,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,never,87%,always,67%,good,calm,Average,low,moderately-active,nil,average,moderate,moderately-active,sometimes
10,F,5,3,Graduate,Graduate,private,Self-Employed,N,Married,never,50%,always,53%,moderate,calm,Poor,low,inactive,nil,average,moderate,inactive,never
10,F,5,3,Graduate,Graduate,private,Self-Employed,N,Married,never,97%,always,78%,moderate,calm,Good,low,moderately-active,nil,average,moderate,inactive,never
10,F,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,sometimes,96%,always,88%,good,calm,Excellent,low,moderately-active,moderate,good,moderate,moderately-active,sometimes
10,M,5,3,Post-Graduate,Graduate,private,Self-Employed,N,Married,sometimes,84%,always,76%,good,focused,Good,low,moderately-active,moderate,good,addicted,moderately-active,sometimes
12,M,7,4,Post Graduate ,Post Graduate ,Private,Self-Employed,No,Married,Regularly ,0.98,Always,0.76,Good,Aggressive,Poor,Over-Confident,Active,Moderate ,Good,Addicted ,Inactive,Regularly
12,F,7,3,Graduate ,Post Graduate ,Private,Self-Employed,Yes,Married,Sometimes ,0.75,Always,0.86,Good,Focused,Poor,Confident ,Active,Good,Average,Moderate ,Moderately Active ,Regularly
12,F,7,4,Post Graduate ,Post Graduate ,Private ,Self-Employed,No,Married,Regularly ,0.98,Always,0.97,Good,Hyperactive,Poor,Confident,Active,Good,Excellent,Addicted ,Over Active,Regularly 
12,M,7,3,Post Graduate ,High School,Private,Self-Employed,Yes,Married,Sometimes ,0.75,Sometimes ,0.79,Good,Focused,Poor,Low,Active,Moderate ,Low,Addicted,Inactive,Never
12,F,7,3,Graduate,Diploma,Private,Government ,No,Married,Regularly ,0.95,Always,0.92,Good,Focused,Poor,Confident,Active,Good,Excellent,No Usage ,Inactive,Regularly 
12,M,7,4,Diploma,Graduate ,Private,Self-Employed,No,Married,Regularly,0.94,Always,0.85,Good,Focused,Poor,Low,Active,Moderate ,Average,Moderate ,Inactive,Never
13,M,7,3,Graduate,Post Graduate,Private,Government ,No,Married,Regularly,0.85,Always,0.84,Good,Aggressive,Poor,Confident,Active,Good,Average,Moderate ,Moderately Active ,Regularly 
13,M,7,4,Graduate ,High School ,Private,Self-Employed,No,Married,Regularly,0.89,Sometimes ,0.72,Moderate,Calm,Poor,Confident,Active,Good,Good,Addicted,Inactive,Regularly 
12,F,7,4,Post Graduate ,Post Graduate ,Government ,Government ,No,Married,Regularly,0.94,Always,0.75,Good,Focused,Poor,Confident,Active,Good,Good,Moderate ,Inactive,Regularly
12,M,7,5,Post Graduate ,Post Graduate ,Government ,Self-Employed,No,Married,Regularly,0.93,Always,0.77,Good,Calm,Poor,Over-Confident,Active,Good,Average,Addicted ,Inactive,Regularly
12,F,7,4,Graduate ,High School,Government ,Self-Employed,Yes,Married,Regularly,0.94,Always,0.79,Good,Hyperactive,Poor,Confident,Active,Good,Good,Addicted ,Over Active,Regularly 
12,M,7,3,Graduate,Diploma ,Government ,Self-Employed,No,Married,Regularly,0.96,Sometimes ,0.69,Moderate,Disturbed,Poor,Confident,Active,Good,Average,Addicted,Inactive,Never
12,F,7,3,Graduate ,Graduate ,Private,Private,No,Married,Regularly,0.9,Alwyas,0.8,Good,Hyperactive,Poor,Confident,Active ,Good,Good,Moderate ,Inactive,Regularly
12,M,7,3,Diploma,Post Graduate ,Self-Employed,Self-Employed,No,Married,Regularly,0.89,Sometimes,0.62,Moderate,Disturbed,Poor,Confident,Active,Good,Good,Moderate ,inactive,Regularly
13,M,7,4,Graduate,Post Graduate ,Self-Employed,Self-Employed,No,Married,Regularly,0.88,Sometimes ,0.59,Good,Aggressive,Poor,Confident,Active,Good,Excellent,Addicted ,Inactive,Never
12,M,7,3,Post Graduate ,Post Graduate ,Private,Government ,No,Married,Regularly,0.92,Always,0.86,Good,Focused,Poor,Confident ,Active,Good,Average,Moderate ,Inactive,Regularly
12,M,7,4,Post Graduate ,Graduate ,Government ,Self-Employed,No,Married,Regularly,0.89,Always,0.73,Good,Calm,Poor,Confident,Active,Good,Average,Addicted ,Over Active,Regularly
13,F,7,4,Diploma,Post Graduate ,Self-Employed,Government ,No,Married,Regularly,0.85,Always,0.68,Moderate,Calm,Poor,Confident,Active,Good,Average,No Usage,Inactive,Regularly
12,M,7,4,Graduate ,Post Graduate ,Government ,Private,No,Married,Regularly,0.97,Always,0.77,Good,Calm,Poor,Confident ,Active,Good,Excellent,Addicted ,Moderately Active ,Regularly
12,M,7,3,Graduate ,Graduate ,Government ,Self-Employed,No,Married,Regularly,0.98,Always,0.84,Good,Focused,Poor,Confident,Active,Good,Good,Addicted ,Moderately Active ,Sometimes 
13,M,7,4,Post Graduate ,Graduate ,Government ,Self-Employed,No,Married,Regularly ,0.96,Sometimes ,0.57,Moderate,Hyperactive,Poor,Confident,Active,Good,Good,Addicted ,Inactive,Never
13,M,7,3,Graduate ,High School ,Government ,Self-Employed,No,Married,Sometimes ,0.77,Always,0.48,Nil,Disturbed,Poor,Confident,Active,Good,Average,Addicted ,Inactive,Never
13,M,7,3,High School,Post Graduate ,Government ,Self-Employed,No,Married,Regularly,0.84,Always,0.58,Moderate,Calm,Poor,Over-Confident,Active,Good,Average,Addicted ,Inactive,Regularly
12,F,7,3,Graduate,Graduate ,----,Government ,No,Married,Regularly ,0.91,Always,0.86,Good,Focused,Poor,Over-Confident,Active,Good,Excellent,Moderate ,Inactive,Regularly
13,F,7,5,Graduate ,High School ,Government ,Self-Employed,Yes,Married,Never,0.6,Always,0.69,Good,Calm,Poor,Confident,Inactive,Good,Average,Moderate ,Inactive,Never
12,F,7,4,Diploma,Graduate ,Government ,Private ,No,Married,Regularly ,0.98,Always,0.98,Good,Focused,Poor,Confident ,Active,Good,Excellent,No Usage,Inactive ,Regularly
12,F,7,3,Graduate ,Graduate,Government ,Private,No,Married,Regularly ,0.83,Always,0.64,Moderate,Calm,Poor,Confident,Active,Good,Average,Addicted,Over Active,Regularly 
13,M,7,3,Diploma,Graduate ,Private,Private,No,Married,Sometimes ,0.8,Always,0.81,Good,Hyperactive,Poor,Low,Active,Moderate ,Average,Addicted,Moderately Active ,Never
13,F,7,3,Graduate ,Graduate ,Government ,Private,No,Married,Sometimes ,0.79,Always,0.77,Good,Focused,Poor,Confident,Active,Good,Good,Addicted,Inactive ,Regularly 
12,M,7,5,Post Graduate ,Diploma,Government ,Private,No,Married,Regularly ,0.96,Always,0.74,Good,Focused,Poor,Over-Confident,Active,Good,Good,Moderate ,Inactive ,Regularly
12,F,7,4,Graduate ,Graduate,Self-Employed,Private,No,Married,Regularly,0.89,Always,0.45,Nil,Disturbed,Poor,Confident,Active,Good,Good,Addicted ,Over Active,Sometimes 
